% t x y o2 h2s co ch4 temp pressure RH
1530691590.465652 -8.106825 56.107285 20.926289 0.374960 0.529380 0.000000 29.160000 101093.101562 46.166992
1530691597.406917 -7.516484 56.161491 20.940029 0.381409 0.532062 0.000000 29.150000 101093.937500 46.021484
1530691604.349281 -6.902254 56.167501 20.928869 0.377440 0.497262 0.000000 29.150000 101090.500000 46.299805
1530691611.424693 -6.537696 56.139341 20.901392 0.382897 0.510191 0.000000 29.150000 101093.101562 46.491211
1530691618.439739 -6.537696 56.139341 20.960634 0.379921 0.524509 0.000000 29.150000 101097.476562 46.334961
1530691625.354891 -6.537696 56.139341 20.952049 0.362559 0.510654 0.000000 29.150000 101093.101562 46.648438
1530691632.376361 -6.537696 56.139341 20.958769 0.373968 0.496782 0.000000 29.139999 101096.640625 46.756836
1530691639.476357 -6.537696 56.139341 20.897959 0.366528 0.493712 0.000000 29.139999 101093.101562 46.587891
1530691646.381381 -7.432041 56.206772 20.915129 0.368512 0.507463 0.000000 29.139999 101095.703125 46.743164
1530691653.328134 -8.188463 56.254098 20.922148 0.376448 0.492186 0.000000 29.150000 101092.265625 46.972656
1530691660.406448 -8.766394 56.305385 20.951038 0.357103 0.488875 0.000000 29.160000 101089.656250 46.515625
1530691667.354076 -9.675560 56.431804 20.921137 0.371984 0.489014 0.000000 29.150000 101087.054688 46.478516
1530691674.389330 -9.675988 56.431904 20.947044 0.363552 0.512625 0.000000 29.150000 101089.656250 46.419922
1530691681.399424 -10.111028 56.530713 20.885078 0.365536 0.500684 0.000000 29.150000 101088.718750 46.407227
1530691688.418492 -10.327206 56.575283 20.914270 0.368016 0.495904 0.000000 29.150000 101087.890625 46.407227
1530691695.326652 -10.972645 56.745508 20.964926 0.375456 0.500510 0.000000 29.150000 101095.703125 46.056641
1530691702.356600 -11.161946 56.813871 20.839575 0.365536 0.484991 0.000000 29.150000 101091.328125 46.514648
1530691709.382165 -11.774384 57.027314 20.945179 0.368512 0.500250 0.000000 29.150000 101088.718750 46.492188
1530691716.469903 -12.885517 57.383081 20.871340 0.377440 0.481709 0.000000 29.150000 101087.890625 46.456055
1530691723.459167 -15.069656 58.410512 20.865629 0.379921 0.502811 0.000000 29.160000 101085.281250 46.553711
1530691730.429799 -17.634321 60.158654 20.911695 0.380417 0.489477 0.000000 29.170000 101085.281250 46.925781
1530691737.374083 -19.833943 62.236234 20.885078 0.385873 0.487535 0.000000 29.160000 101082.671875 46.215820
1530691744.407917 -22.102385 64.616765 20.924870 0.386865 0.475902 0.000000 29.160000 101086.109375 46.756836
1530691751.365694 -24.021047 67.448715 20.905832 0.407202 0.510994 0.000000 29.170000 101087.054688 46.528320
1530691758.486656 -24.085920 67.581273 20.911695 0.427044 0.488293 0.000000 29.150000 101080.062500 46.503906
1530691765.367383 -24.085920 67.581273 20.843008 0.433988 0.482929 0.000000 29.139999 101083.609375 46.598633
1530691772.350595 -24.085920 67.581273 20.891949 0.474663 0.478684 0.000000 29.150000 101079.234375 46.442383
1530691779.467635 -24.085920 67.581273 20.937452 0.484087 0.455286 0.000000 29.139999 101081.000000 46.780273
1530691786.398200 -24.085920 67.581273 20.949322 0.472679 0.487932 0.000000 29.150000 101081.000000 47.117188
1530691793.462213 -24.085920 67.581273 20.964069 0.495992 0.515908 0.000000 29.139999 101074.953125 46.719727
1530691800.399050 -24.085920 67.581273 20.913261 0.483095 0.475281 0.000000 29.139999 101081.000000 46.634766
1530691807.408922 -24.085920 67.581273 20.881643 0.483095 0.498614 0.000000 29.150000 101086.218750 47.091797
1530691814.338482 -24.085920 67.581273 20.923716 0.471686 0.526358 0.000000 29.150000 101078.398438 46.913086
1530691821.337463 -24.085920 67.581273 20.965786 0.480119 0.505226 0.000000 29.139999 101082.781250 47.248047
1530691828.416744 -24.085920 67.581273 20.867754 0.518809 0.515521 0.000000 29.139999 101080.171875 46.779297
1530691835.349329 -24.085920 67.581273 20.886797 0.530218 0.500527 0.000000 29.139999 101081.000000 46.984375
1530691842.435449 -24.085920 67.581273 20.940029 0.606607 0.512440 0.000000 29.139999 101084.445312 47.007812
1530691849.368918 -24.085920 67.581273 20.919422 0.592718 0.509683 0.000000 29.150000 101076.703125 46.887695
1530691856.471941 -24.085920 67.581273 20.896090 0.585774 0.496995 0.000000 29.139999 101079.234375 47.416992
1530691863.447622 -24.085920 67.581273 20.888363 0.549563 0.511960 0.000000 29.139999 101081.843750 47.453125
1530691870.426190 -24.085920 67.581273 20.913113 0.560476 0.501943 0.000000 29.139999 101083.609375 47.116211
1530691877.365777 -24.085920 67.581273 20.854170 0.534186 0.494591 0.000000 29.139999 101082.671875 47.563477
1530691884.413945 -24.085920 67.581273 20.900381 0.503432 0.516278 0.000000 29.139999 101076.625000 47.224609
1530691891.477536 -24.085920 67.581273 20.921846 0.505417 0.508139 0.000000 29.139999 101087.054688 47.141602
1530691898.439170 -24.085920 67.581273 20.881495 0.515337 0.515862 0.000000 29.139999 101084.445312 47.177734
